x1,y1,x2,y2
26,343,981,361
981,361,11,600
11,600,23,352
23,352,989,394
989,394,733,943
733,943,177,882
177,882,497,1000
497,1000,257,937
257,937,6,425
6,425,969,676
969,676,25,655
25,655,161,867
161,867,945,730
945,730,67,750
67,750,834,873
834,873,995,573
995,573,96,794
96,794,361,981
361,981,5,432
5,432,999,466
999,466,779,916
779,916,996,432
996,432,192,894
192,894,894,809
894,809,610,988
610,988,262,940
262,940,54,725
54,725,999,466
999,466,10,404
10,404,149,145
149,145,923,233
923,233,693,962
693,962,501,1001
501,1001,716,952
716,952,355,979
355,979,573,995
573,995,865,158
865,158,535,2
535,2,802,102
802,102,212,92
212,92,1,494
1,494,600,11
600,11,305,40
305,40,747,65
